iter	RMSE
0	1.650066967
1	1.606250335
2	1.566826927
3	1.531676088
4	1.497607162
5	1.467076895
6	1.438272755
7	1.411214803
8	1.387048163
9	1.364924679
10	1.345019695
11	1.325386104
12	1.307392473
13	1.290814621
14	1.275243963
15	1.261679661
16	1.249104444
17	1.236292396
18	1.226293975
19	1.215081619
20	1.204855288
21	1.196409621
22	1.18688039
23	1.178678273
24	1.170146387
25	1.163181691
26	1.156972409
27	1.150888001
28	1.145057961
29	1.138737565
30	1.131271841
31	1.125700712
32	1.121187894
33	1.116463585
34	1.111304061
35	1.107171389
36	1.103345248
37	1.09979866
38	1.096451577
39	1.092251527
40	1.087929422
41	1.084718819
42	1.081651419
43	1.078298776
44	1.073911466
45	1.070894494
46	1.068427856
47	1.066024099
48	1.062846735
49	1.06016209
50	1.057453518
51	1.055608106
52	1.053475888
53	1.050832707
54	1.048483737
55	1.046485612
56	1.044617887
57	1.042444119
58	1.040865616
59	1.039308401
60	1.037327108
61	1.035675388
62	1.033074801
63	1.030993786
64	1.029117014
65	1.027674621
66	1.026124485
67	1.023016315
68	1.020201579
69	1.018705221
70	1.017058868
71	1.015610151
72	1.014228979
73	1.012217082
74	1.010856425
75	1.008862854
76	1.007497825
77	1.006247291
78	1.004883266
79	1.002959639
80	1.001455544
81	0.9995475373
82	0.998193056
83	0.9968279549
84	0.9957131602
85	0.9935084884
86	0.9913935889
87	0.9904214456
88	0.9888731435
89	0.9878112674
90	0.9864817751
91	0.9853919504
92	0.9841975587
93	0.9829386915
94	0.9819594158
95	0.9809356042
96	0.9796333929
97	0.9775870918
98	0.9765933075
99	0.9754460311
100	0.9746396922
101	0.973576245
102	0.9726511537
103	0.971749807
104	0.9698303596
105	0.9688144986
106	0.9678542561
107	0.9656973086
108	0.964894195
109	0.9631527729
110	0.9620022595
111	0.961189763
112	0.9602833731
113	0.9591951761
114	0.9582068303
115	0.9570974753
116	0.9564496311
117	0.9550530612
118	0.9538671386
119	0.9530879206
120	0.9519817821
121	0.9508810434
122	0.9491862659
123	0.9484271186
124	0.9471160685
125	0.9463637695
126	0.9447218122
127	0.9440106922
128	0.94243562
129	0.9407197442
130	0.9396700848
131	0.9383039824
132	0.9376469836
133	0.9368348508
134	0.9358954736
135	0.9349528197
136	0.9322780423
137	0.9317644919
138	0.9299399782
139	0.9293410375
140	0.9286860119
141	0.9276636107
142	0.9258363677
143	0.925137071
144	0.9244430628
145	0.9231715583
146	0.922566423
147	0.9217100616
148	0.9203668078
149	0.9194031853
150	0.9184876966
151	0.9175558159
152	0.9167248307
153	0.9161509426
154	0.9154191354
155	0.9139656032
156	0.9127446749
157	0.9122480554
158	0.9115832178
159	0.9108690977
160	0.9102894519
161	0.9096054117
162	0.9087977883
163	0.9079122324
164	0.9064963201
165	0.9058374929
166	0.9051595684
167	0.9043577097
168	0.9035959815
169	0.9022222039
170	0.9008437161
171	0.8997227268
172	0.8988147122
173	0.8981140775
174	0.8974353931
175	0.8969359436
176	0.8957550536
177	0.8952681513
178	0.8944587586
179	0.893739781
180	0.8924256655
181	0.8917295361
182	0.8907899919
183	0.8897923553
184	0.8890562959
185	0.887453401
186	0.8854882539
187	0.8849182801
188	0.8843494548
189	0.8827443889
190	0.8822956223
191	0.8818624874
192	0.8810461251
193	0.8804709657
194	0.8794624809
195	0.8790452764
196	0.8785590743
197	0.877957256
198	0.87755264
199	0.8771346452
200	0.8767215373
201	0.8761645379
202	0.8754514322
203	0.8748791238
204	0.8743703955
205	0.8739395514
206	0.87348289
207	0.8726641435
208	0.8722600138
209	0.8713200693
210	0.8707938674
211	0.8704764675
212	0.8700783136
213	0.8692968595
214	0.8684540506
215	0.8677204058
216	0.8673434502
217	0.8666494261
218	0.8659990286
219	0.8656521135
220	0.8652833179
