iter	Passed	Remaining
0	101	90907
1	191	85854
2	272	81611
3	372	83363
4	461	82557
5	549	81874
6	646	82478
7	745	83103
8	833	82485
9	915	81460
10	1011	81765
11	1095	81088
12	1184	80822
13	1275	80750
14	1403	82804
15	1493	82525
16	1581	82133
17	1665	81598
18	1768	81982
19	1849	81377
20	1935	81011
21	2025	80830
22	2126	81102
23	2221	81076
24	2317	81127
25	2423	81462
26	2506	81056
27	2593	80781
28	2679	80479
29	2765	80185
30	2856	80060
31	2961	80333
32	3057	80323
33	3149	80222
34	3247	80249
35	3340	80162
36	3438	80208
37	3538	80276
38	3637	80295
39	3737	80349
40	3853	80741
41	3944	80589
42	4033	80389
43	4132	80389
44	4232	80415
45	4328	80361
46	4426	80337
47	4524	80311
48	4625	80333
49	4722	80277
50	4819	80237
51	4919	80222
52	5014	80143
53	5114	80124
54	5211	80068
55	5308	80012
56	5408	79984
57	5503	79900
58	5603	79874
59	5702	79832
60	5805	79846
61	5903	79795
62	5989	79571
63	6080	79430
64	6175	79335
65	6257	79074
66	6347	78919
67	6443	78838
68	6542	78798
69	6637	78705
70	6763	78975
71	6908	79444
72	7069	80093
73	7320	81717
74	7652	84179
75	7932	86009
76	8143	87036
77	8396	88481
78	8639	89781
79	8893	91161
80	9150	92521
81	9357	93347
82	9601	94514
83	9870	95888
84	10115	96990
85	10365	98109
86	10630	99342
87	10882	100412
88	11107	101218
89	11382	102439
90	11627	103365
91	11855	104126
92	12083	104851
93	12338	105799
94	12575	106563
95	12809	107275
96	13038	107940
97	13272	108616
98	13506	109283
99	13753	110027
100	14002	110773
101	14229	111328
102	14489	112116
103	14739	112817
104	14981	113434
105	15200	113862
106	15426	114332
107	15670	114913
108	15932	115617
109	16177	116185
110	16396	116544
111	16622	116947
112	16881	117569
113	17098	117886
114	17323	118250
115	17583	118840
116	17812	119207
117	18038	119544
118	18298	120094
119	18541	120517
120	18770	120846
121	18995	121136
122	19241	121550
123	19495	122003
124	19734	122351
125	19955	122581
126	20156	122684
127	20411	123106
128	20685	123631
129	20921	123917
130	21138	124085
131	21366	124316
132	21582	124467
133	21819	124728
134	22069	125057
135	22319	125385
136	22590	125814
137	22831	126070
138	23055	126223
139	23309	126537
140	23559	126822
141	23793	127010
142	24055	127344
143	24293	127539
144	24515	127647
145	24755	127845
146	25005	128090
147	25248	128289
148	25487	128465
149	25720	128600
150	25956	128753
151	26190	128884
152	26419	128987
153	26636	129029
154	26866	129133
155	27082	129164
156	27319	129287
157	27604	129636
158	27846	129776
159	28089	129913
